x=-9.17969, y=1.28906, f1=1
x=-9.17969, y=1.36719, f1=1
x=-9.10156, y=1.28906, f1=1
x=-9.10156, y=1.36719, f1=1
x=-9.17969, y=1.44531, f1=1
x=-9.17969, y=1.52344, f1=1
x=-9.10156, y=1.44531, f1=1
x=-9.10156, y=1.52344, f1=1
x=-9.33594, y=1.60156, f1=1
x=-9.33594, y=1.67969, f1=1
x=-9.25781, y=1.60156, f1=1
x=-9.25781, y=1.67969, f1=1
x=-9.33594, y=1.75781, f1=1
x=-9.33594, y=1.83594, f1=1
x=-9.25781, y=1.75781, f1=1
x=-9.25781, y=1.83594, f1=1
x=-9.17969, y=1.60156, f1=1
x=-9.17969, y=1.67969, f1=1
x=-9.10156, y=1.60156, f1=1
x=-9.10156, y=1.67969, f1=1
x=-9.17969, y=1.75781, f1=1
x=-9.17969, y=1.83594, f1=1
x=-9.10156, y=1.75781, f1=1
x=-9.10156, y=1.83594, f1=1
x=-9.02344, y=1.28906, f1=1
x=-9.02344, y=1.36719, f1=1
x=-8.94531, y=1.28906, f1=1
x=-8.94531, y=1.36719, f1=1
x=-9.02344, y=1.44531, f1=1
x=-9.02344, y=1.52344, f1=1
x=-8.94531, y=1.44531, f1=1
x=-8.94531, y=1.52344, f1=1
x=-8.86719, y=1.28906, f1=1
x=-8.86719, y=1.36719, f1=1
x=-8.78906, y=1.28906, f1=1
x=-8.78906, y=1.36719, f1=1
x=-8.86719, y=1.44531, f1=1
x=-8.86719, y=1.52344, f1=1
x=-8.78906, y=1.44531, f1=1
x=-8.78906, y=1.52344, f1=1
x=-9.02344, y=1.60156, f1=1
x=-9.02344, y=1.67969, f1=1
x=-8.94531, y=1.60156, f1=1
x=-8.94531, y=1.67969, f1=1
x=-9.02344, y=1.75781, f1=1
x=-9.02344, y=1.83594, f1=1
x=-8.94531, y=1.75781, f1=1
x=-8.94531, y=1.83594, f1=1
x=-8.86719, y=1.60156, f1=1
x=-8.86719, y=1.67969, f1=1
x=-8.78906, y=1.60156, f1=1
x=-8.78906, y=1.67969, f1=1
x=-8.86719, y=1.75781, f1=1
x=-8.86719, y=1.83594, f1=1
x=-8.78906, y=1.75781, f1=1
x=-8.78906, y=1.83594, f1=1
x=-9.33594, y=1.91406, f1=1
x=-9.33594, y=1.99219, f1=1
x=-9.25781, y=1.91406, f1=1
x=-9.25781, y=1.99219, f1=1
x=-9.33594, y=2.07031, f1=1
x=-9.33594, y=2.14844, f1=1
x=-9.25781, y=2.07031, f1=1
x=-9.25781, y=2.14844, f1=1
x=-9.17969, y=1.91406, f1=1
x=-9.17969, y=1.99219, f1=1
x=-9.10156, y=1.91406, f1=1
x=-9.10156, y=1.99219, f1=1
x=-9.17969, y=2.07031, f1=1
x=-9.17969, y=2.14844, f1=1
x=-9.10156, y=2.07031, f1=1
x=-9.10156, y=2.14844, f1=1
x=-9.33594, y=2.22656, f1=1
x=-9.33594, y=2.30469, f1=1
